name_en,name_hi,block,capacity
Murlibasantpur,मुरलीबसंतपुर,Kahra,1
Balahapatti,बलहापट्टी,Kahra,1
Diwari,दिवारी,Kahra,1
Parari,परारी,Kahra,1
Chainpur,चैनपुर,Kahra,1
Mohanpur,मोहनपुर,Kahra,1
Amarpur,अमरपुर,Kahra,1
Siradeypatti,सिरदेपट्टी,Kahra,1
Bariyahi,बरियाही,Kahra,1
Chandour East,चंदौर पूर्व,Sour Bazar,1
Ajgewa,अजगेवा,Sour Bazar,1
Chandour West,चंदौर पश्चिम,Sour Bazar,1
Sahuria West,सहुरिया पश्चिम,Sour Bazar,1
Nado,नदो,Sour Bazar,1
Suhath,सुहथ,Sour Bazar,1
Kadhaiya,कढ़ैया,Sour Bazar,1
Rauta Khem,रौता खेम,Sour Bazar,1
Rampur,रामपुर,Sour Bazar,1
Tiri,तिरी,Sour Bazar,1
Gamhariya,गम्हरिया,Sour Bazar,1
Khajuri,खजुरी,Sour Bazar,1
Sahuria East,सहुरिया पूर्व,Sour Bazar,1
Kanp East,कान्प पूर्व,Sour Bazar,1
Kanp West,कान्प पश्चिम,Sour Bazar,1
Lagma,लगमा,Sonbarsa,1
Biratpur,बिरतपुर,Sonbarsa,1
Khajuraha,खजुराहा,Sonbarsa,1
Baraith,बरैठ,Sonbarsa,1
Mangwar,मंगवार,Sonbarsa,1
Sahsoul,सहसौल,Sonbarsa,1
Atalkha,अतलखा,Sonbarsa,1
Bargaon,बरगाँव,Sonbarsa,1
Barsam,बरसाम,Sonbarsa,1
Pararia,परारिया,Sonbarsa,1
Kasnagar,कसनगर,Sonbarsa,1
Raghunathpur,रघुनाथपुर,Sonbarsa,1
Sarouni Madhepura,सरौनी मधेपुरा,Sonbarsa,1
Dehad,देहद,Sonbarsa,1
Mahua Uttarbari,महुआ उत्तरबारी,Sonbarsa,1
Baithmusahari,बैठमुसहरी,Sonbarsa,1
Shahpur,शाहपुर,Sonbarsa,1
Mokma,मोकमा,Sonbarsa,1
Kopa,कोपा,Sonbarsa,1
Okahi,ओकाही,Sattar Kataiya,1
Bisanpur,बिसनपुर,Sattar Kataiya,1
Barahsher,बराहशेर,Sattar Kataiya,1
Panchgachhiya,पंचगछिया,Sattar Kataiya,1
Sihoul,सिहौल,Sattar Kataiya,1
Bara,बारा,Sattar Kataiya,1
Purikh,पुरीख,Sattar Kataiya,1
Rakiya,रकिया,Sattar Kataiya,1
